gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229482/original.jpeg	https://www.inaturalist.org/photos/233229482					2022-09-08T22:37:49Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229037/original.jpeg	https://www.inaturalist.org/photos/233229037					2022-09-09T00:47:40Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915418361	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170572149/original.jpg	https://www.inaturalist.org/photos/170572149					2021-11-28T13:02:55Z	treefarm007		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	treefarm007
3915410093	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231849125/original.jpeg	https://www.inaturalist.org/photos/231849125					2022-09-02T10:35:12Z	Andreas Berger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andreas Berger
3915340693	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231433057/original.jpeg	https://www.inaturalist.org/photos/231433057					2022-09-19T19:45:05Z	Adam Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adam Fraser
3915340693	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231432918/original.jpeg	https://www.inaturalist.org/photos/231432918					2022-09-19T19:45:22Z	Adam Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adam Fraser
3915305771	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227889371/original.jpeg	https://www.inaturalist.org/photos/227889371					2022-09-05T21:51:40Z	Caitlin Fox		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Caitlin Fox
3912429408	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/161034949/original.jpg	https://www.inaturalist.org/photos/161034949					2021-09-28T14:25:31Z	kristinachristiansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kristinachristiansen
3912352096	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231120994/original.jpeg	https://www.inaturalist.org/photos/231120994					2022-09-18T20:58:31Z	dirtyshirty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dirtyshirty
3912352096	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231120922/original.jpeg	https://www.inaturalist.org/photos/231120922					2022-09-18T20:57:53Z	dirtyshirty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dirtyshirty
3912350647	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230607084/original.jpeg	https://www.inaturalist.org/photos/230607084					2022-09-02T06:33:20Z	Andreas Berger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andreas Berger
3912350647	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230607091/original.jpeg	https://www.inaturalist.org/photos/230607091					2022-09-02T06:33:20Z	Andreas Berger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andreas Berger
3912343592	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230612445/original.jpeg	https://www.inaturalist.org/photos/230612445					2022-09-15T12:14:15Z	Olsza Borys		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Olsza Borys
3912343592	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230612429/original.jpeg	https://www.inaturalist.org/photos/230612429					2022-09-15T21:14:15Z	Olsza Borys		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Olsza Borys
3912343388	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230435193/original.jpeg	https://www.inaturalist.org/photos/230435193					2022-09-15T23:40:52Z	dangerchocomog		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dangerchocomog
3912343388	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230435161/original.jpeg	https://www.inaturalist.org/photos/230435161					2022-09-15T23:40:29Z	dangerchocomog		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dangerchocomog
3912315498	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231430396/original.jpeg	https://www.inaturalist.org/photos/231430396					2022-09-19T19:37:30Z	Adam Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adam Fraser
3912315498	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231430900/original.jpeg	https://www.inaturalist.org/photos/231430900					2022-09-19T19:38:15Z	Adam Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adam Fraser
3912315498	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231430708/original.jpeg	https://www.inaturalist.org/photos/231430708					2022-09-19T19:37:58Z	Adam Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Adam Fraser
